ind_district,Crop_Year,Production,X1,X2,X3,X4
firozabad,2005,44381,40988,26784,632.9,515.5
firozabad,2006,43963,44381,40988,725.7,632.9
ghaziabad,2005,50584,49123,45904,651.2,754.2
ghazipur,2005,278990,157236,344404,666.7,381.8
ghazipur,2006,288576,278990,157236,814.2,666.7
ghazipur,2010,314321,224041,339402,754.4,643.6
gonda,2006,217868,265617,219000,612.4,1126
gorakhpur,2005,271902,224879,305263,1242.4,1090
gorakhpur,2006,246210,271902,224879,1054.7,1242.4
gorakhpur,2007,282104,246210,271902,1511.9,1054.7
gorakhpur,2008,296072,282104,246210,1716.7,1511.9
gorakhpur,2009,277533,296072,282104,969.9,1716.7
gorakhpur,2010,312111,277533,296072,1300.6,969.9
hardoi,2005,278476,345455,267702,639.9,953.8
hardoi,2006,298674,278476,345455,598.3,639.9
hardoi,2010,265252,279271,339517,779.4,645.3
jalaun,2005,869,519,770,674.7,629.4
jhansi,2005,3581,2911,3455,619,693.3
jhansi,2006,1365,3581,2911,388.8,619
jhansi,2007,3047,1365,3581,352.8,388.8
jhansi,2008,3197,3047,1365,1169.6,352.8
kheri,2005,396803,397276,428236,821.1,1208.6
kheri,2006,376880,396803,397276,794,821.1
lucknow,2005,68300,99033,102433,586.3,756.3
lucknow,2006,93520,68300,99033,914.4,586.3
lucknow,2007,87097,93520,68300,804.7,914.4
lucknow,2008,118810,87097,93520,1459.4,804.7
lucknow,2009,95329,118810,87097,831.7,1459.4
lucknow,2010,93320,95329,118810,810.5,831.7
mainpuri,2005,133441,179085,93556,654.6,685.5
mathura,2005,82858,94625,67858,808.5,487.1
mathura,2006,77442,82858,94625,319.2,808.5
mathura,2007,103377,77442,82858,279.6,319.2
mathura,2010,101167,92817,119522,684.7,410.8
meerut,2009,45113,39938,32335,223.7,437.4
meerut,2010,38608,45113,39938,701.9,223.7
mirzapur,2005,151765,99621,215028,816.7,792.8
mirzapur,2006,194094,151765,99621,812.4,816.7
moradabad,2005,233865,326147,291505,1077.5,904.5
moradabad,2006,289405,233865,326147,596.3,1077.5
moradabad,2010,224136,279506,302043,1530.4,694.2
muzaffarnagar,2005,50876,80429,66673,929.3,408.4
muzaffarnagar,2006,57854,50876,80429,454.8,929.3
muzaffarnagar,2010,82944,92794,68938,560.4,282.9
pratapgarh,2005,198038,157306,239818,562.1,443.1
pratapgarh,2006,184503,198038,157306,712.8,562.1
pratapgarh,2010,193811,207132,209092,717.8,648
rampur,2010,267580,260766,274294,857.5,384.4
saharanpur,2005,115205,134030,119053,1226.1,932.6
saharanpur,2006,127803,115205,134030,595.8,1226.1
shahjahanpur,2005,408482,483179,421045,694.3,678.5
shahjahanpur,2006,459829,408482,483179,603.5,694.3
shahjahanpur,2010,430171,425246,490281,1027.1,856.5
sitapur,2005,221860,241358,262915,766.7,1110.4
sitapur,2006,257317,221860,241358,1009,766.7
sitapur,2007,260494,257317,221860,984.4,1009
sonbhadra,2005,83841,34420,182495,538.8,663.1
sonbhadra,2006,120218,83841,34420,912.9,538.8
sonbhadra,2010,42014,21399,37703,575.8,533.6
sultanpur,2005,333041,315565,358923,819.6,718.8
sultanpur,2006,281833,333041,315565,662.1,819.6
sultanpur,2007,320923,281833,333041,831.9,662.1
sultanpur,2008,380110,320923,281833,1165.9,831.9
sultanpur,2009,303223,380110,320923,707.9,1165.9
sultanpur,2010,216836,303223,380110,729.6,707.9
unnao,2006,129883,150078,164546,628.5,633.7
varanasi,2005,72048,28319,133775,877.4,562.3
varanasi,2006,95645,72048,28319,770,877.4
varanasi,2007,86343,95645,72048,765.6,770
varanasi,2010,84882,58274,111034,705.2,433.6
almora,2005,22000,21008,20615,1192.3,1316.8
almora,2006,28882,22000,21008,905.7,1192.3
dehradun,2005,25667,23415,27981,2103.7,2017.7
dehradun,2006,24734,25667,23415,1735,2103.7
dehradun,2007,25112,24734,25667,2940.5,1735
dehradun,2008,23706,25112,24734,2383,2940.5
dehradun,2009,21268,23706,25112,1519.2,2383
dehradun,2010,21827,21268,23706,2781.1,1519.2
nainital,2005,32381,29665,30665,1457.5,1132.7
nainital,2006,29414,32381,29665,1022.9,1457.5
nainital,2009,38931,29248,32173,1396.8,1802.2
nainital,2010,29300,38931,29248,2497.3,1396.8
