,State_Name,ind_district,Crop_Year,Season,Crop,Area,Production,phosphorus,X1,X2,X3,X4
606,BIHAR,siwan,2001,kharif,Rice,183,375,0,49161,45811,717.259,618.877
609,BIHAR,supaul,2001,kharif,Rice,6781,11444,0,32416,19907,924.114,894.816
613,BIHAR,vaishali,2001,kharif,Rice,336,648,1,19943,11866,742.743,680.647
641,CHHATTISGARH,bastar,2002,kharif,Rice,258955,128736,0,385963,213319,1009.784,1324.364
644,CHHATTISGARH,bastar,2005,kharif,Rice,260734,349876,0,327311,439318,1419.1,1644.2
645,CHHATTISGARH,bastar,2006,kharif,Rice,239805,326040,0,349876,327311,1709.8,1419.1
646,CHHATTISGARH,bastar,2007,kharif,Rice,239537,345270,0,326040,349876,1259.2,1709.8
647,CHHATTISGARH,bastar,2008,kharif,Rice,240340,280325,0,345270,326040,1398.3,1259.2
648,CHHATTISGARH,bastar,2009,kharif,Rice,240074,278302,0,280325,345270,1038.3,1398.3
649,CHHATTISGARH,bastar,2010,kharif,Rice,239376,401486,0,278302,280325,1623.2,1038.3
669,CHHATTISGARH,bilaspur,2002,kharif,Rice,316368,212099,1,448855,195548,620.135,563.829
684,CHHATTISGARH,dantewada,2002,kharif,Rice,204492,113811,0,273524,177354,850.11,1128.138
699,CHHATTISGARH,dhamtari,2002,kharif,Rice,139084,164690,0,213867,139175,1054,1278.172
702,CHHATTISGARH,dhamtari,2005,kharif,Rice,149772,272042,0,201587,217544,1100.3,916
703,CHHATTISGARH,dhamtari,2006,kharif,Rice,163589,328047,0,272042,201587,1320.4,1100.3
704,CHHATTISGARH,dhamtari,2007,kharif,Rice,175006,346087,0,328047,272042,1007.2,1320.4
705,CHHATTISGARH,dhamtari,2008,kharif,Rice,152432,268219,0,346087,328047,901,1007.2
706,CHHATTISGARH,dhamtari,2009,kharif,Rice,143904,260683,0,268219,346087,1113,901
707,CHHATTISGARH,dhamtari,2010,kharif,Rice,168855,395133,0,260683,268219,1211.1,1113
714,CHHATTISGARH,durg,2002,kharif,Rice,432904,233410,1,605170,224171,1035.669,1199.901
719,CHHATTISGARH,durg,2007,kharif,Rice,465325,730870,1,673868,746241,1068.5,886.4
720,CHHATTISGARH,durg,2008,kharif,Rice,464617,420864,1,730870,673868,904.8,1068.5
721,CHHATTISGARH,durg,2009,kharif,Rice,451263,355753,1,420864,730870,794.9,904.8
722,CHHATTISGARH,durg,2010,kharif,Rice,462087,844764,1,355753,420864,1149.7,794.9
748,CHHATTISGARH,jashpur,2002,kharif,Rice,180322,116095,1,221341,120855,1075.461,1114.472
751,CHHATTISGARH,jashpur,2005,kharif,Rice,180718,159200,1,167461,225019,1395,1328.8
752,CHHATTISGARH,jashpur,2006,kharif,Rice,180309,188689,1,159200,167461,836.3,1395
753,CHHATTISGARH,jashpur,2007,kharif,Rice,181389,220343,1,188689,159200,1233.5,836.3
754,CHHATTISGARH,jashpur,2008,kharif,Rice,180921,203992,1,220343,188689,1412,1233.5
755,CHHATTISGARH,jashpur,2009,kharif,Rice,180614,193157,1,203992,220343,1064,1412
756,CHHATTISGARH,jashpur,2010,kharif,Rice,179402,247335,1,193157,203992,1133.9,1064
778,CHHATTISGARH,kanker,2002,kharif,Rice,160452,88832,0,262672,133229,1036.061,1299.852
783,CHHATTISGARH,kanker,2007,kharif,Rice,171869,284312,0,302060,275545,1235.7,1571.7
784,CHHATTISGARH,kanker,2008,kharif,Rice,171869,223318,0,284312,302060,652.2,1235.7
785,CHHATTISGARH,kanker,2009,kharif,Rice,171869,215414,0,223318,284312,868.6,652.2
786,CHHATTISGARH,kanker,2010,kharif,Rice,173596,385716,0,215414,223318,1480.8,868.6
797,CHHATTISGARH,korba,2002,kharif,Rice,108984,82439,0,145072,60674,1041.42,1080.303
800,CHHATTISGARH,korba,2005,kharif,Rice,109622,129060,0,101504,134710,1482.3,1356.2
801,CHHATTISGARH,korba,2006,kharif,Rice,109853,95823,0,129060,101504,750.7,1482.3
802,CHHATTISGARH,korba,2007,kharif,Rice,109818,120613,0,95823,129060,857.4,750.7
803,CHHATTISGARH,korba,2008,kharif,Rice,109650,110250,0,120613,95823,1233.6,857.4
804,CHHATTISGARH,korba,2009,kharif,Rice,109232,101991,0,110250,120613,822.6,1233.6
805,CHHATTISGARH,korba,2010,kharif,Rice,109207,130510,0,101991,110250,1093.1,822.6
827,CHHATTISGARH,mahasamund,2002,kharif,Rice,242444,108462,0,290201,114090,1032.46,1187.851
830,CHHATTISGARH,mahasamund,2005,kharif,Rice,250057,247754,0,319432,387427,1379,1222.8
831,CHHATTISGARH,mahasamund,2006,kharif,Rice,256752,331104,0,247754,319432,1383.9,1379
832,CHHATTISGARH,mahasamund,2007,kharif,Rice,241743,331756,0,331104,247754,1174.6,1383.9
833,CHHATTISGARH,mahasamund,2008,kharif,Rice,260661,292312,0,331756,331104,944.9,1174.6
834,CHHATTISGARH,mahasamund,2009,kharif,Rice,262841,292973,0,292312,331756,1190.1,944.9
835,CHHATTISGARH,mahasamund,2010,kharif,Rice,266738,486688,0,292973,292312,1130,1190.1
855,CHHATTISGARH,raigarh,2002,kharif,Rice,239372,168485,1,305358,116886,1055.9,1163.283
858,CHHATTISGARH,raigarh,2005,kharif,Rice,240317,278707,1,250401,322350,1246.8,1049.8
859,CHHATTISGARH,raigarh,2006,kharif,Rice,240616,307132,1,278707,250401,1089.1,1246.8
860,CHHATTISGARH,raigarh,2007,kharif,Rice,241665,312306,1,307132,278707,1291.8,1089.1
861,CHHATTISGARH,raigarh,2008,kharif,Rice,242366,296840,1,312306,307132,1513.9,1291.8
